"borough","year","month","day","julian","measles","pertussis","popsize","birthrate","dpopdt","exit.rate"
"Battersea",1944,"Jan",2,2,1,14,87260.7985239474,1652.32117934915,-4613.21199268331,0.071802381802786
"Battersea",1944,"Jan",9,9,0,6,87172.406477391,1652.7878816511,-4609.90589045824,0.0718426165478594
"Battersea",1944,"Jan",16,16,0,13,87084.1481397999,1653.18392891394,-4599.25850698459,0.0717977102544682
"Battersea",1944,"Jan",23,23,4,6,86996.1642065036,1653.50390454947,-4581.26984226236,0.0716672258332252
"Battersea",1944,"Jan",30,30,5,7,86908.5953728307,1653.74239196949,-4555.93989629154,0.0714507266125061
"Battersea",1944,"Feb",6,37,3,14,86821.5823341096,1653.89397458579,-4523.26866907215,0.0711477777482422
"Battersea",1944,"Feb",13,44,2,6,86735.2657856688,1653.95323581016,-4483.25616060417,0.070757947656262
"Battersea",1944,"Feb",20,51,1,11,86649.786422837,1653.91475905441,-4435.90237088760,0.0702808094670273
"Battersea",1944,"Feb",27,58,2,14,86565.2849409426,1653.77312773034,-4381.20729992246,0.0697159425024713
"Battersea",1944,"Mar",5,65,2,18,86481.9020353141,1653.52292524973,-4319.17094770873,0.0690629337745089
"Battersea",1944,"Mar",12,72,2,10,86399.778401281,1653.15873502440,-4249.79331424728,0.0683213795046512
"Battersea",1944,"Mar",19,79,5,13,86319.0547341699,1652.67514046613,-4173.07439953648,0.0674908866639437
"Battersea",1944,"Mar",26,86,4,11,86239.8717293102,1652.06672498672,-4089.01420357709,0.0665710745324845
"Battersea",1944,"Apr",2,93,1,13,86162.3700820305,1651.32807199798,-3997.61272636911,0.0655615762773127
"Battersea",1944,"Apr",9,100,6,12,86086.6904876593,1650.45376491168,-3898.86996791255,0.0644620405476006
"Battersea",1944,"Apr",16,107,10,7,86012.9736415251,1649.43838713965,-3792.78592820742,0.0632721330857428
"Battersea",1944,"Apr",23,114,8,7,85941.3602389564,1648.27652209366,-3679.36060725369,0.0619915383528266
"Battersea",1944,"Apr",30,121,3,8,85871.9909752818,1646.96275318552,-3558.59400505139,0.0606199611667945
"Battersea",1944,"May",7,128,5,16,85805.0065458296,1645.49166382703,-3430.4861216005,0.0591571283514369
"Battersea",1944,"May",14,135,4,9,85740.5476459294,1643.85783743,-3295.03695690268,0.0576027903942034
"Battersea",1944,"May",21,142,2,19,85678.7549709079,1642.05585740619,-3152.24651095471,0.0559567231105168
"Battersea",1944,"May",28,149,9,9,85619.7692160945,1640.08030716742,-3002.11478375816,0.0542187293124934
"Battersea",1944,"Jun",4,156,5,7,85563.7310768178,1637.92577012549,-2844.64177531303,0.0523886404791551
"Battersea",1944,"Jun",11,163,4,11,85510.7812484061,1635.58682969219,-2679.82748561931,0.050466318425689
"Battersea",1944,"Jun",18,170,8,23,85461.0604261881,1633.05806927932,-2507.67191467701,0.0484516569687622
"Battersea",1944,"Jun",25,177,3,7,85414.7093054923,1630.33407229867,-2328.17506248613,0.0463445835848587
"Battersea",1944,"Jul",2,184,4,13,85371.8685258836,1627.40945151272,-2141.38136750587,0.04414558195919
"Battersea",1944,"Jul",9,191,2,5,85332.6663492262,1624.28533458506,-1948.80614446882,0.0418724930547805
"Battersea",1944,"Jul",16,198,1,10,85297.2031430122,1620.97753115316,-1751.19309486391,0.039534363399503
"Battersea",1944,"Jul",23,205,1,7,85265.5754569626,1617.50386030599,-1548.54221868647,0.0371315863644233
"Battersea",1944,"Jul",30,212,0,3,85237.8798408,1613.88214113260,-1340.85351593878,0.0346645841331341
"Battersea",1944,"Aug",6,219,0,4,85214.2128442466,1610.13019272203,-1128.12698662086,0.0321338082926125
"Battersea",1944,"Aug",13,226,0,6,85194.6710170244,1606.26583416330,-910.362630732709,0.0295397403951841
"Battersea",1944,"Aug",20,233,0,2,85179.3509088555,1602.30688454544,-687.560448274322,0.0268828924896363
"Battersea",1944,"Aug",27,240,1,1,85168.349069462,1598.27116295748,-459.720439245702,0.0241638076197146
"Battersea",1944,"Sep",3,247,0,4,85161.7620485659,1594.17648848844,-226.842603646849,0.0213830602882172
"Battersea",1944,"Sep",10,254,1,3,85159.6863958894,1590.04068022740,11.0730585193825,0.0185412568849506
"Battersea",1944,"Sep",17,261,0,4,85162.2186611544,1585.88155726328,254.026547258643,0.0156390360765947
"Battersea",1944,"Sep",24,268,3,3,85169.4553940832,1581.71693868517,502.017862568137,0.0126770691572609
"Battersea",1944,"Oct",1,275,4,2,85181.4931443977,1577.56464358210,755.047004447865,0.00965606035738207
"Battersea",1944,"Oct",8,282,0,8,85198.4284618202,1573.44249104308,1013.11397289782,0.00657674710979394
"Battersea",1944,"Oct",15,289,2,7,85220.3578960726,1569.36830015715,1276.21876791801,0.00343990027120791
"Battersea",1944,"Oct",22,296,4,4,85247.3779968771,1565.35989001333,1544.36138950844,0.000246324297571431
"Battersea",1944,"Oct",29,303,4,10,85279.5853139557,1561.43507970065,1817.5418376691,-0.00300314262816357
"Battersea",1944,"Nov",5,310,1,1,85317.0763970306,1557.61168830814,2095.76011239999,-0.00630762851726819
"Battersea",1944,"Nov",12,317,3,4,85359.9477958232,1553.90753492486,2379.01621369773,-0.00966622754674694
"Battersea",1944,"Nov",19,324,2,3,85408.2960600567,1550.34043863977,2667.31014156903,-0.0130780000826131
"Battersea",1944,"Nov",26,331,5,7,85462.2177394528,1546.92821854192,2960.64189601057,-0.0165419727554768
"Battersea",1944,"Dec",3,338,10,3,85521.8093837333,1543.68869372035,3259.01147702234,-0.020057138590291
"Battersea",1944,"Dec",10,345,16,2,85587.1675426205,1540.63968326408,3562.41888460434,-0.0236224571906000
"Battersea",1944,"Dec",17,352,27,4,85658.3887658365,1537.79900626214,3870.86411875657,-0.0272368549783526
"Battersea",1944,"Dec",24,359,18,0,85735.5696031033,1535.18448180356,4184.34717947903,-0.0308992254899486
"Battersea",1944,"Dec",31,366,37,5,85818.806604143,1532.81392897736,4502.86806677173,-0.0346084297290961
"Battersea",1945,"Jan",7,373,20,3,85908.1963186777,1530.70516687258,4826.42678063467,-0.0383632965769245
"Battersea",1945,"Jan",14,380,23,5,86003.8352964283,1528.87601457826,5155.02332106391,-0.0421626232596192
"Battersea",1945,"Jan",21,387,45,4,86105.8200871192,1527.34429118337,5488.65768806725,-0.0460051758740111
"Battersea",1945,"Jan",28,394,77,3,86214.2472404713,1526.12781577699,5827.32988164083,-0.0498896899704616
"Battersea",1945,"Feb",4,401,77,5,86329.2133062068,1525.24440744812,6171.03990178464,-0.0538148711938106
"Battersea",1945,"Feb",11,408,57,2,86450.8148340477,1524.7118852858,6519.78774849868,-0.0577793959814203
"Battersea",1945,"Feb",18,415,46,6,86579.148373716,1524.54806837905,6873.57342178296,-0.061781912318137
"Battersea",1945,"Feb",25,422,64,3,86714.310474934,1524.77077581691,7232.39692163747,-0.0658210405475164
"Battersea",1945,"Mar",4,429,79,7,86856.3976874237,1525.39782668840,7596.25824806221,-0.0698953742385385
"Battersea",1945,"Mar",11,436,126,0,87005.5065609072,1526.44704008254,7965.15740105718,-0.0740034811068802
"Battersea",1945,"Mar",18,443,152,0,87161.7336451046,1527.93623508835,8339.09438061793,-0.0781439039895937
"Battersea",1945,"Mar",25,450,128,3,87325.1754897417,1529.88323079488,8718.06918675332,-0.0823151618722238
"Battersea",1945,"Apr",1,457,148,3,87495.9286445389,1532.30584629115,9102.08181945892,-0.086515750966205
"Battersea",1945,"Apr",8,464,88,4,87674.0896592181,1535.22190066618,9491.13227873477,-0.0907441458359311
"Battersea",1945,"Apr",15,471,86,6,87859.7550835016,1538.64921300901,9885.22056458086,-0.0949988005730189
"Battersea",1945,"Apr",22,478,71,3,88053.0214671113,1542.60560240866,10284.3466769972,-0.0992781500161656
"Battersea",1945,"Apr",29,485,56,2,88253.9853597694,1547.10888795415,10688.5106159837,-0.103580611014499
"Battersea",1945,"May",6,492,37,1,88462.7433111979,1552.17688873451,11097.7123815405,-0.107904583732231
"Battersea",1945,"May",13,499,38,0,88679.391871119,1557.82742383878,11511.9519736675,-0.112248452992274
"Battersea",1945,"May",20,506,24,4,88904.027589252,1564.0783123559,11931.2293923598,-0.116610589656314
"Battersea",1945,"May",27,513,13,5,89136.7470153242,1570.94737337504,12355.5446376272,-0.120989352039043
"Battersea",1945,"Jun",3,520,9,1,89377.6466990553,1578.45242598517,12784.8977094649,-0.125383087353072
"Battersea",1945,"Jun",10,527,8,6,89626.8231901672,1586.61128927530,13219.2886078728,-0.129790133182737
"Battersea",1945,"Jun",17,534,2,4,89884.3730383821,1595.44178233448,13658.7173328509,-0.134208818983086
"Battersea",1945,"Jun",24,541,3,10,90150.392793422,1604.96172425171,14103.1838843992,-0.138637467601355
"Battersea",1945,"Jul",1,548,5,12,90424.979004591,1615.18893407486,14552.6845973270,-0.143074356285948
"Battersea",1945,"Jul",8,555,12,10,90708.1507910066,1626.13360560152,14995.3222624008,-0.147386850467298
"Battersea",1945,"Jul",15,562,7,3,90999.6337007098,1637.77702203206,15420.0096775466,-0.151453715746188
"Battersea",1945,"Jul",22,569,5,6,91299.0837179557,1650.09361599234,15826.7468427600,-0.155277059193306
"Battersea",1945,"Jul",29,576,0,5,91606.15682701,1663.05782010869,16215.5337580504,-0.158859147048628
"Battersea",1945,"Aug",5,583,3,2,91920.5090121282,1676.64406700700,16586.370423413,-0.162202391138182
"Battersea",1945,"Aug",12,590,1,0,92241.7962575688,1690.82678931327,16939.2568388478,-0.16530933555279
"Battersea",1945,"Aug",19,597,1,0,92569.6745475907,1705.58041965355,17274.1930043548,-0.16818264362264
"Battersea",1945,"Aug",26,604,2,1,92903.7998664526,1720.87939065385,17591.1789199339,-0.170825085218186
"Battersea",1945,"Sep",2,611,0,4,93243.8281984131,1736.69813494021,17890.2145855852,-0.173239524403395
"Battersea",1945,"Sep",9,618,2,7,93589.4155277312,1753.01108513864,18171.3000013087,-0.175428907463421
"Battersea",1945,"Sep",16,625,1,3,93940.2178386655,1769.79267387516,18434.4351671043,-0.177396251324958
"Battersea",1945,"Sep",23,632,1,2,94295.8911154704,1787.01733377561,18679.6200829694,-0.179144632383906
"Battersea",1945,"Sep",30,639,0,5,94656.0913424133,1804.65949746641,18906.8547489096,-0.180677175751710
"Battersea",1945,"Oct",7,646,1,7,95020.4745037486,1822.69359757338,19116.139164922,-0.181997044928105
"Battersea",1945,"Oct",14,653,0,9,95388.696583735,1841.09406672256,19307.4733310065,-0.183107431905744
"Battersea",1945,"Oct",21,660,1,2,95760.4135666314,1859.83533753996,19480.8572471633,-0.184011547708724
"Battersea",1945,"Oct",28,667,1,4,96135.2814366964,1878.89184265161,19636.2909133922,-0.184712613364882
"Battersea",1945,"Nov",4,674,0,7,96512.9561781888,1898.23801468353,19773.7743296933,-0.185213851309318
"Battersea",1945,"Nov",11,681,2,2,96893.0937753674,1917.84828626176,19893.3074960666,-0.185518477214468
"Battersea",1945,"Nov",18,688,0,5,97275.3502124909,1937.69709001231,19994.890412512,-0.185629692240173
"Battersea",1945,"Nov",25,695,1,4,97659.3814738134,1957.75885856097,20078.5230790287,-0.185550675695470
"Battersea",1945,"Dec",2,702,3,4,98044.8435436028,1978.00802453424,20144.2054956187,-0.185284578102321
"Battersea",1945,"Dec",9,709,1,4,98431.3924061133,1998.41902055791,20191.9376622809,-0.184834514650156
"Battersea",1945,"Dec",16,716,0,5,98818.6840456036,2018.96627925801,20221.7195790153,-0.184203559028948
"Battersea",1945,"Dec",23,723,3,4,99206.3744463326,2039.62423326056,20233.5512458218,-0.183394737627506
"Battersea",1945,"Dec",30,730,0,10,99594.1195925588,2060.36731519158,20227.4326627005,-0.182411024082854
"Battersea",1946,"Jan",6,737,3,6,99981.5754685411,2081.1699576771,20203.3638296514,-0.181255334165807
"Battersea",1946,"Jan",13,744,2,10,100368.398058538,2102.00659334315,20161.3447466744,-0.179930520987278
"Battersea",1946,"Jan",20,751,1,4,100754.243346809,2122.85165481575,20101.3754137697,-0.178439370509384
